Date,AwayTeam,HomeTeam,AwayPoints,HomePoints,FTR
2023-03-30,MIL,CHN,1,0,A
2023-03-30,PHI,TEX,1,7,H
2023-03-30,CLE,SEA,1,0,A
2023-03-30,ANA,OAK,1,1,D
2023-03-30,SFN,NYA,1,0,A
2023-03-30,MIN,KCA,1,2,H
2023-03-30,CHA,HOU,1,3,H
2023-03-30,DET,TBA,1,0,A
2023-03-30,ATL,WAS,1,7,H
2023-03-30,TOR,SLN,1,10,H
2023-03-30,COL,SDN,1,7,H
2023-03-30,NYN,MIA,1,5,H
2023-03-30,ARI,LAN,1,2,H
2023-03-30,PIT,CIN,1,5,H
2023-03-30,BAL,BOS,1,10,H
2023-03-31,CLE,SEA,2,9,H
2023-03-31,CHA,HOU,2,3,H
2023-03-31,COL,SDN,2,4,H
2023-03-31,ARI,LAN,2,2,D
2023-03-31,NYN,MIA,2,1,A
2023-04-01,MIN,KCA,2,2,D
2023-04-01,PHI,TEX,2,3,H
2023-04-01,DET,TBA,2,2,D
2023-04-01,CLE,SEA,3,2,A
2023-04-01,ANA,OAK,2,13,H
2023-04-01,SFN,NYA,2,7,H
2023-04-01,CHA,HOU,3,4,H
2023-04-01,MIL,CHN,2,3,H
2023-04-01,ATL,WAS,2,7,H
2023-04-01,TOR,SLN,2,1,A
2023-04-01,COL,SDN,3,4,H
2023-04-01,NYN,MIA,3,6,H
2023-04-01,ARI,LAN,3,1,A
2023-04-01,PIT,CIN,2,2,D
2023-04-01,BAL,BOS,2,8,H
2023-04-02,MIN,KCA,3,7,H
2023-04-02,PHI,TEX,3,1,A
2023-04-02,DET,TBA,3,1,A
2023-04-02,CLE,SEA,4,6,H
2023-04-02,ANA,OAK,3,6,H
2023-04-02,SFN,NYA,3,0,A
2023-04-02,CHA,HOU,4,6,H
2023-04-02,MIL,CHN,3,9,H
2023-04-02,ATL,WAS,3,1,A
2023-04-02,TOR,SLN,3,4,H
2023-04-02,COL,SDN,4,1,A
2023-04-02,NYN,MIA,4,5,H
2023-04-02,ARI,LAN,4,2,A
2023-04-02,PIT,CIN,3,1,A
2023-04-02,BAL,BOS,3,5,H
2023-04-03,BAL,TEX,4,2,A
2023-04-03,ANA,SEA,5,7,H
2023-04-03,CLE,OAK,4,12,H
2023-04-03,PHI,NYA,4,1,A
2023-04-03,TOR,KCA,4,5,H
2023-04-03,DET,HOU,5,7,H
2023-04-03,SFN,CHA,5,12,H
2023-04-03,TBA,WAS,4,6,H
2023-04-03,ATL,SLN,4,8,H
2023-04-03,ARI,SDN,5,4,A
2023-04-03,NYN,MIL,4,0,A
2023-04-03,MIN,MIA,5,11,H
2023-04-03,COL,LAN,5,4,A
2023-04-03,CHN,CIN,4,6,H
2023-04-03,PIT,BOS,4,7,H
2023-04-04,TOR,KCA,5,4,A
2023-04-04,BAL,TEX,5,7,H
2023-04-04,ANA,SEA,6,2,A
2023-04-04,CLE,OAK,5,3,A
2023-04-04,PHI,NYA,5,4,A
2023-04-04,PIT,BOS,5,4,A
2023-04-04,DET,HOU,6,6,D
2023-04-04,ATL,SLN,5,4,A
2023-04-04,TBA,WAS,5,10,H
2023-04-04,ARI,SDN,6,8,H
2023-04-04,NYN,MIL,5,0,A
2023-04-04,MIN,MIA,6,0,A
2023-04-04,COL,LAN,6,2,A
2023-04-04,CHN,CIN,5,12,H
2023-04-05,BAL,TEX,6,2,A
2023-04-05,ANA,SEA,7,4,A
2023-04-05,CLE,OAK,6,6,D
2023-04-05,TOR,KCA,6,3,A
2023-04-05,DET,HOU,7,2,A
2023-04-05,PHI,NYA,6,2,A
2023-04-05,PIT,BOS,6,4,A
2023-04-05,TBA,WAS,6,7,H
2023-04-05,ATL,SLN,6,5,A
2023-04-05,NYN,MIL,6,6,D
2023-04-05,MIN,MIA,7,2,A
2023-04-05,SFN,CHA,6,3,A
2023-04-06,TOR,KCA,7,6,A
2023-04-06,BOS,DET,7,6,A
2023-04-06,SFN,CHA,7,16,H
2023-04-06,WAS,COL,7,0,A
2023-04-06,LAN,ARI,7,5,A
2023-04-06,SDN,ATL,7,6,A
2023-04-07,KCA,SFN,7,3,A
2023-04-07,OAK,TBA,7,5,A
2023-04-07,SEA,CLE,8,5,A
2023-04-07,NYA,BAL,7,6,A
2023-04-07,TOR,ANA,7,4,A
2023-04-07,CHA,PIT,7,9,H
2023-04-07,HOU,MIN,7,2,A
2023-04-07,MIA,NYN,8,3,A
2023-04-07,SLN,MIL,7,0,A
2023-04-07,WAS,COL,8,10,H
2023-04-07,TEX,CHN,6,0,A
2023-04-07,SDN,ATL,8,5,A
2023-04-07,LAN,ARI,8,3,A
2023-04-07,CIN,PHI,7,2,A
2023-04-08,HOU,MIN,8,6,A
2023-04-08,BOS,DET,8,14,H
2023-04-08,SEA,CLE,9,3,A
2023-04-08,NYA,BAL,8,4,A
2023-04-08,TOR,ANA,8,5,A
2023-04-08,KCA,SFN,8,6,A
2023-04-08,CHA,PIT,8,11,H
2023-04-08,OAK,TBA,8,0,A
2023-04-08,MIA,NYN,9,2,A
2023-04-08,SLN,MIL,8,6,A
2023-04-08,WAS,COL,9,7,A
2023-04-08,TEX,CHN,7,3,A
2023-04-08,SDN,ATL,9,4,A
2023-04-08,LAN,ARI,9,8,A
2023-04-08,CIN,PHI,8,2,A
2023-04-09,OAK,TBA,9,0,A
2023-04-09,HOU,MIN,9,5,A
2023-04-09,BOS,DET,9,4,A
2023-04-09,SEA,CLE,10,6,A
2023-04-09,NYA,BAL,9,5,A
2023-04-09,TOR,ANA,9,12,H
2023-04-09,KCA,SFN,9,1,A
2023-04-09,CIN,PHI,9,6,A
2023-04-09,MIA,NYN,10,7,A
2023-04-09,SLN,MIL,9,1,A
2023-04-09,WAS,COL,10,6,A
2023-04-09,TEX,CHN,8,8,D
2023-04-09,SDN,ATL,10,10,D
2023-04-09,LAN,ARI,10,6,A
2023-04-09,CHA,PIT,9,0,A
2023-04-10,WAS,ANA,10,6,A
2023-04-10,KCA,TEX,10,2,A
2023-04-10,CHA,MIN,10,4,A
2023-04-10,NYA,CLE,11,2,A
2023-04-10,OAK,BAL,10,1,A
2023-04-10,LAN,SFN,10,9,A
2023-04-10,BOS,TBA,10,0,A
2023-04-10,MIA,PHI,10,3,A
2023-04-10,MIL,ARI,11,0,A
2023-04-10,CIN,ATL,11,4,A
2023-04-10,HOU,PIT,10,8,A
2023-04-10,SLN,COL,11,4,A
2023-04-10,SEA,CHN,9,2,A
2023-04-10,SDN,NYN,11,0,A
2023-04-11,KCA,TEX,11,5,A
2023-04-11,CHA,MIN,11,3,A
2023-04-11,NYA,CLE,12,11,A
2023-04-11,OAK,BAL,11,8,A
2023-04-11,WAS,ANA,11,0,A
2023-04-11,LAN,SFN,11,0,A
2023-04-11,DET,TOR,11,3,A
2023-04-11,MIA,PHI,11,8,A
2023-04-11,HOU,PIT,11,4,A
2023-04-11,MIL,ARI,12,7,A
2023-04-11,CIN,ATL,12,6,A
2023-04-11,BOS,TBA,11,2,A
2023-04-11,SLN,COL,12,9,A
2023-04-11,SDN,NYN,12,4,A
2023-04-11,SEA,CHN,10,9,A
2023-04-12,LAN,SFN,12,10,A
2023-04-12,DET,TOR,12,3,A
2023-04-12,KCA,TEX,12,10,A
2023-04-12,BOS,TBA,12,7,A
2023-04-12,CHA,MIN,12,1,A
2023-04-12,NYA,CLE,13,4,A
2023-04-12,OAK,BAL,12,8,A
2023-04-12,WAS,ANA,12,2,A
2023-04-12,SDN,NYN,13,2,A
2023-04-12,MIA,PHI,12,3,A
2023-04-12,SLN,COL,13,7,A
2023-04-12,SEA,CHN,11,5,A
2023-04-12,CIN,ATL,13,4,A
2023-04-12,MIL,ARI,13,3,A
2023-04-12,HOU,PIT,12,7,A
2023-04-13,DET,TOR,13,3,A
2023-04-13,BOS,TBA,13,3,A
2023-04-13,MIN,NYA,13,11,A
2023-04-13,OAK,BAL,13,7,A
2023-04-13,MIL,SDN,14,4,A
2023-04-13,PHI,CIN,12,2,A
2023-04-13,PIT,SLN,13,5,A
2023-04-14,TBA,TOR,14,3,A
2023-04-14,COL,SEA,14,3,A
2023-04-14,NYN,OAK,14,17,H
2023-04-14,MIN,NYA,14,4,A
2023-04-14,ATL,KCA,14,10,A
2023-04-14,SFN,DET,13,5,A
2023-04-14,BAL,CHA,14,6,A
2023-04-14,TEX,HOU,14,6,A
2023-04-14,CLE,WAS,14,4,A
2023-04-14,PIT,SLN,14,0,A
2023-04-14,MIL,SDN,15,11,A
2023-04-14,ARI,MIA,14,1,A
2023-04-14,CHN,LAN,14,8,A
2023-04-14,PHI,CIN,13,8,A
2023-04-14,ANA,BOS,14,3,A
2023-04-15,TEX,HOU,15,2,A
2023-04-15,COL,SEA,15,2,A
2023-04-15,TBA,TOR,15,2,A
2023-04-15,NYN,OAK,15,3,A
