Date,HomeTeam,AwayTeam,HomeScore,AwayScore,FTR
18/03/2025 10:10,Chicago Cubs,Los Angeles Dodgers,1,4,A
19/03/2025 10:10,Chicago Cubs,Los Angeles Dodgers,3,6,A
27/03/2025 19:05,New York Yankees,Milwaukee Brewers,4,2,H
27/03/2025 19:07,Toronto Blue Jays,Baltimore Orioles,2,12,A
27/03/2025 20:05,Texas Rangers,Boston Red Sox,2,5,A
27/03/2025 20:05,Washington Nationals,Philadelphia Phillies,3,7,A
27/03/2025 20:10,Kansas City Royals,Cleveland Guardians,4,7,A
27/03/2025 20:10,Houston Astros,New York Mets,3,1,H
27/03/2025 20:10,Cincinnati Reds,San Francisco Giants,4,6,A
27/03/2025 20:10,San Diego Padres,Atlanta Braves,7,4,H
27/03/2025 20:10,Chicago White Sox,Los Angeles Angels,8,1,H
27/03/2025 20:10,Miami Marlins,Pittsburgh Pirates,5,4,H
27/03/2025 20:15,St. Louis Cardinals,Minnesota Twins,5,3,H
27/03/2025 23:10,Los Angeles Dodgers,Detroit Tigers,5,4,H
28/03/2025 02:10,Arizona Diamondbacks,Chicago Cubs,6,10,A
28/03/2025 02:10,Seattle Mariners,Athletics,4,2,H
28/03/2025 20:10,Tampa Bay Rays,Colorado Rockies,3,2,H
28/03/2025 23:07,Toronto Blue Jays,Baltimore Orioles,8,2,H
28/03/2025 23:10,Miami Marlins,Pittsburgh Pirates,3,4,A
29/03/2025 00:05,Texas Rangers,Boston Red Sox,4,1,H
29/03/2025 00:10,Houston Astros,New York Mets,1,3,A
29/03/2025 01:40,Arizona Diamondbacks,Chicago Cubs,8,1,H
29/03/2025 01:40,Seattle Mariners,Athletics,0,7,A
29/03/2025 01:40,San Diego Padres,Atlanta Braves,4,3,H
29/03/2025 02:10,Los Angeles Dodgers,Detroit Tigers,8,5,H
29/03/2025 17:05,New York Yankees,Milwaukee Brewers,20,9,H
29/03/2025 18:10,Chicago White Sox,Los Angeles Angels,0,1,A
29/03/2025 18:15,St. Louis Cardinals,Minnesota Twins,5,1,H
29/03/2025 19:07,Toronto Blue Jays,Baltimore Orioles,5,9,A
29/03/2025 20:05,Washington Nationals,Philadelphia Phillies,6,11,A
29/03/2025 20:10,Kansas City Royals,Cleveland Guardians,4,3,H
29/03/2025 20:10,Cincinnati Reds,San Francisco Giants,3,2,H
29/03/2025 20:10,Tampa Bay Rays,Colorado Rockies,1,2,A
29/03/2025 20:10,Miami Marlins,Pittsburgh Pirates,5,4,H
29/03/2025 23:05,Texas Rangers,Boston Red Sox,4,3,H
29/03/2025 23:15,Houston Astros,New York Mets,2,1,H
29/03/2025 23:15,San Diego Padres,Atlanta Braves,1,0,H
30/03/2025 00:10,Arizona Diamondbacks,Chicago Cubs,3,4,A
30/03/2025 01:10,Los Angeles Dodgers,Detroit Tigers,7,3,H
30/03/2025 01:40,Seattle Mariners,Athletics,2,4,A
