Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Player,PTS,REB
2024-10-22,BOS,NYK,132,109,H,Jayson Tatum,37,4
2024-10-22,BOS,NYK,132,109,H,Derrick White,24,3
2024-10-22,BOS,NYK,132,109,H,Jrue Holiday,18,4
2024-10-22,BOS,NYK,132,109,H,Miles McBride,22,0
2024-10-22,BOS,NYK,132,109,H,Jaylen Brown,23,7
2024-10-22,BOS,NYK,132,109,H,Al Horford,11,3
2024-10-22,BOS,NYK,132,109,H,Jalen Brunson,22,1
2024-10-22,BOS,NYK,132,109,H,Karl-Anthony Towns,12,7
2024-10-22,BOS,NYK,132,109,H,Josh Hart,12,4
2024-10-22,BOS,NYK,132,109,H,Mikal Bridges,16,0
2024-10-22,BOS,NYK,132,109,H,Cameron Payne,11,3
2024-10-22,BOS,NYK,132,109,H,Jericho Sims,4,9
2024-10-22,BOS,NYK,132,109,H,Luke Kornet,4,3
2024-10-22,BOS,NYK,132,109,H,Sam Hauser,10,5
2024-10-22,BOS,NYK,132,109,H,OG Anunoby,4,5
2024-10-22,BOS,NYK,132,109,H,Xavier Tillman,2,7
2024-10-22,BOS,NYK,132,109,H,Ariel Hukporti,0,4
2024-10-22,BOS,NYK,132,109,H,Pacome Dadiet,3,1
2024-10-22,BOS,NYK,132,109,H,Tyler Kolek,3,0
2024-10-22,BOS,NYK,132,109,H,Jordan Walsh,0,0
2024-10-22,BOS,NYK,132,109,H,Neemias Queta,0,0
2024-10-22,BOS,NYK,132,109,H,Jacob Toppin,0,0
2024-10-22,BOS,NYK,132,109,H,Payton Pritchard,3,4
2024-10-22,LAL,MIN,110,103,H,Anthony Davis,36,16
2024-10-22,LAL,MIN,110,103,H,Rui Hachimura,18,5
2024-10-22,LAL,MIN,110,103,H,Rudy Gobert,13,14
2024-10-22,LAL,MIN,110,103,H,Julius Randle,16,9
2024-10-22,LAL,MIN,110,103,H,Anthony Edwards,27,6
2024-10-22,LAL,MIN,110,103,H,Austin Reaves,12,9
2024-10-22,LAL,MIN,110,103,H,Nickeil Alexander-Walker,14,5
2024-10-22,LAL,MIN,110,103,H,LeBron James,16,5
2024-10-22,LAL,MIN,110,103,H,Jaxson Hayes,10,4
2024-10-22,LAL,MIN,110,103,H,Naz Reid,12,4
2024-10-22,LAL,MIN,110,103,H,Donte DiVincenzo,10,3
2024-10-22,LAL,MIN,110,103,H,D'Angelo Russell,9,1
2024-10-22,LAL,MIN,110,103,H,Dalton Knecht,5,1
2024-10-22,LAL,MIN,110,103,H,Mike Conley,5,4
2024-10-22,LAL,MIN,110,103,H,Jaden McDaniels,6,2
2024-10-22,LAL,MIN,110,103,H,Gabe Vincent,2,2
2024-10-22,LAL,MIN,110,103,H,Joe Ingles,0,0
2024-10-22,LAL,MIN,110,103,H,Bronny James,0,1
2024-10-22,LAL,MIN,110,103,H,Max Christie,2,2
2024-10-23,CHO,HOU,110,105,H,LaMelo Ball,34,8
2024-10-23,CHO,HOU,110,105,H,Alperen Sengun,25,18
2024-10-23,CHO,HOU,110,105,H,Tre Mann,24,6
2024-10-23,CHO,HOU,110,105,H,Jalen Green,28,2
2024-10-23,CHO,HOU,110,105,H,Fred VanVleet,14,4
2024-10-23,CHO,HOU,110,105,H,Cody Martin,8,8
2024-10-23,CHO,HOU,110,105,H,Amen Thompson,13,4
2024-10-23,CHO,HOU,110,105,H,Jock Landale,5,3
2024-10-23,CHO,HOU,110,105,H,Jabari Smith,8,5
2024-10-23,CHO,HOU,110,105,H,Nick Richards,6,8
2024-10-23,CHO,HOU,110,105,H,Miles Bridges,10,9
2024-10-23,CHO,HOU,110,105,H,Brandon Miller,6,1
2024-10-23,CHO,HOU,110,105,H,Grant Williams,8,4
2024-10-23,CHO,HOU,110,105,H,Seth Curry,7,2
2024-10-23,CHO,HOU,110,105,H,Moussa Diabaté,2,5
2024-10-23,CHO,HOU,110,105,H,Tari Eason,2,2
2024-10-23,CHO,HOU,110,105,H,Cam Whitmore,4,0
2024-10-23,CHO,HOU,110,105,H,Reed Sheppard,4,2
2024-10-23,CHO,HOU,110,105,H,Vasilije Micić,5,5
2024-10-23,CHO,HOU,110,105,H,Dillon Brooks,2,3
2024-10-23,MEM,UTA,126,124,H,Lauri Markkanen,35,9
2024-10-23,MEM,UTA,126,124,H,Walker Kessler,16,14
2024-10-23,MEM,UTA,126,124,H,Ja Morant,22,5
2024-10-23,MEM,UTA,126,124,H,Santi Aldama,27,5
2024-10-23,MEM,UTA,126,124,H,Desmond Bane,24,4
2024-10-23,MEM,UTA,126,124,H,Jordan Clarkson,17,5
2024-10-23,MEM,UTA,126,124,H,Jay Huff,13,5
2024-10-23,MEM,UTA,126,124,H,Taylor Hendricks,12,5
2024-10-23,MEM,UTA,126,124,H,Collin Sexton,16,2
2024-10-23,MEM,UTA,126,124,H,Scotty Pippen ,6,3
2024-10-23,MEM,UTA,126,124,H,John Konchar,5,5
2024-10-23,MEM,UTA,126,124,H,Marcus Smart,11,5
2024-10-23,MEM,UTA,126,124,H,Brice Sensabaugh,3,2
2024-10-23,MEM,UTA,126,124,H,John Collins,11,5
2024-10-23,MEM,UTA,126,124,H,Jake LaRavia,5,1
2024-10-23,MEM,UTA,126,124,H,Keyonte George,12,2
2024-10-23,MEM,UTA,126,124,H,Jaylen Wells,6,0
2024-10-23,MEM,UTA,126,124,H,Zach Edey,5,5
2024-10-23,MEM,UTA,126,124,H,Cody Williams,2,4
2024-10-23,MEM,UTA,126,124,H,Patty Mills,0,1
2024-10-23,MEM,UTA,126,124,H,Brandon Clarke,2,3
2024-10-23,ATL,BRK,120,116,H,Trae Young,30,5
2024-10-23,ATL,BRK,120,116,H,Onyeka Okongwu,28,8
2024-10-23,ATL,BRK,120,116,H,Cam Thomas,36,5
2024-10-23,ATL,BRK,120,116,H,Dyson Daniels,15,5
2024-10-23,ATL,BRK,120,116,H,Jalen Wilson,16,4
2024-10-23,ATL,BRK,120,116,H,Cameron Johnson,14,4
2024-10-23,ATL,BRK,120,116,H,De'Andre Hunter,12,6
2024-10-23,ATL,BRK,120,116,H,Clint Capela,6,7
2024-10-23,ATL,BRK,120,116,H,Jalen Johnson,11,10
2024-10-23,ATL,BRK,120,116,H,Noah Clowney,7,6
2024-10-23,ATL,BRK,120,116,H,Nic Claxton,7,5
2024-10-23,ATL,BRK,120,116,H,Dorian Finney-Smith,8,8
2024-10-23,ATL,BRK,120,116,H,Ziaire Williams,9,3
2024-10-23,ATL,BRK,120,116,H,Ben Simmons,6,5
2024-10-23,ATL,BRK,120,116,H,Bogdan Bogdanović,8,2
2024-10-23,ATL,BRK,120,116,H,Dennis Schröder,13,3
2024-10-23,ATL,BRK,120,116,H,Vit Krejci,3,1
2024-10-23,ATL,BRK,120,116,H,Zaccharie Risacher,7,1
2024-10-23,ATL,BRK,120,116,H,Shake Milton,0,0
2024-10-23,MIA,ORL,97,116,A,Paolo Banchero,33,11
2024-10-23,MIA,ORL,97,116,A,Franz Wagner,23,4
2024-10-23,MIA,ORL,97,116,A,Gary Harris,18,3
2024-10-23,MIA,ORL,97,116,A,Terry Rozier,19,6
2024-10-23,MIA,ORL,97,116,A,Jalen Suggs,11,2
2024-10-23,MIA,ORL,97,116,A,Wendell Carter,8,14
2024-10-23,MIA,ORL,97,116,A,Tyler Herro,14,5
2024-10-23,MIA,ORL,97,116,A,Anthony Black,10,6
2024-10-23,MIA,ORL,97,116,A,Nikola Jović,15,5
2024-10-23,MIA,ORL,97,116,A,Haywood Highsmith,9,5
2024-10-23,MIA,ORL,97,116,A,Thomas Bryant,7,3
2024-10-23,MIA,ORL,97,116,A,Jaime Jaquez,13,5
2024-10-23,MIA,ORL,97,116,A,Bam Adebayo,9,5
2024-10-23,MIA,ORL,97,116,A,Moritz Wagner,7,6
2024-10-23,MIA,ORL,97,116,A,Jonathan Isaac,3,3
2024-10-23,MIA,ORL,97,116,A,Jimmy Butler,3,4
2024-10-23,MIA,ORL,97,116,A,Pelle Larsson,2,0
2024-10-23,MIA,ORL,97,116,A,Kentavious Caldwell-Pope,3,1
2024-10-23,MIA,ORL,97,116,A,Dru Smith,0,1
2024-10-23,MIA,ORL,97,116,A,Duncan Robinson,6,1
2024-10-23,MIA,ORL,97,116,A,Caleb Houstan,0,1
2024-10-23,MIA,ORL,97,116,A,Cory Joseph,0,0
2024-10-23,MIA,ORL,97,116,A,Tristan Da Silva,0,0
2024-10-23,MIA,ORL,97,116,A,Jett Howard,0,1
2024-10-23,MIA,ORL,97,116,A,Kel'el Ware,0,1
2024-10-23,MIA,ORL,97,116,A,Goga Bitadze,0,2
2024-10-23,MIA,ORL,97,116,A,Cole Anthony,0,3
2024-10-23,CLE,TOR,136,106,H,Evan Mobley,25,9
2024-10-23,CLE,TOR,136,106,H,Caris LeVert,19,1
2024-10-23,CLE,TOR,136,106,H,Donovan Mitchell,21,2
2024-10-23,CLE,TOR,136,106,H,Jarrett Allen,14,7
2024-10-23,CLE,TOR,136,106,H,Ty Jerome,14,2
2024-10-23,CLE,TOR,136,106,H,Chris Boucher,18,2
2024-10-23,CLE,TOR,136,106,H,Gradey Dick,16,2
2024-10-23,CLE,TOR,136,106,H,Immanuel Quickley,13,2
2024-10-23,CLE,TOR,136,106,H,Jamal Shead,10,1
2024-10-23,CLE,TOR,136,106,H,Georges Niang,11,1
2024-10-23,CLE,TOR,136,106,H,Ochai Agbaji,3,6
2024-10-23,CLE,TOR,136,106,H,Dean Wade,5,8
2024-10-23,CLE,TOR,136,106,H,Jamison Battle,6,2
2024-10-23,CLE,TOR,136,106,H,Jonathan Mogbo,7,0
2024-10-23,CLE,TOR,136,106,H,Sam Merrill,7,0
2024-10-23,CLE,TOR,136,106,H,Bruno Fernando,6,7
2024-10-23,CLE,TOR,136,106,H,Isaac Okoro,3,2
2024-10-23,CLE,TOR,136,106,H,Garrett Temple,2,0
2024-10-23,CLE,TOR,136,106,H,Scottie Barnes,9,6
2024-10-23,CLE,TOR,136,106,H,Ulrich Chomche,2,1
2024-10-23,CLE,TOR,136,106,H,Craig Porter,4,0
2024-10-23,CLE,TOR,136,106,H,Jaylon Tyson,4,2
2024-10-23,CLE,TOR,136,106,H,Davion Mitchell,8,0
2024-10-23,CLE,TOR,136,106,H,Tristan Thompson,2,1
2024-10-23,CLE,TOR,136,106,H,Darius Garland,7,1
2024-10-23,CLE,TOR,136,106,H,Jakob Poeltl,6,9
2024-10-23,MIL,PHI,124,109,H,Damian Lillard,30,9
2024-10-23,MIL,PHI,124,109,H,Giannis Antetokounmpo,25,14
2024-10-23,MIL,PHI,124,109,H,Taurean Prince,16,5
2024-10-23,MIL,PHI,124,109,H,Kyle Lowry,13,4
2024-10-23,MIL,PHI,124,109,H,Bobby Portis,16,3
2024-10-23,MIL,PHI,124,109,H,Tyrese Maxey,25,6
2024-10-23,MIL,PHI,124,109,H,Caleb Martin,12,9
2024-10-23,MIL,PHI,124,109,H,Kelly Oubre,21,2
2024-10-23,MIL,PHI,124,109,H,Andre Drummond,10,13
2024-10-23,MIL,PHI,124,109,H,Brook Lopez,10,8
2024-10-23,MIL,PHI,124,109,H,Pat Connaughton,9,4
2024-10-23,MIL,PHI,124,109,H,Guerschon Yabusele,10,4
2024-10-23,MIL,PHI,124,109,H,Gary Trent,11,2
2024-10-23,MIL,PHI,124,109,H,Ricky Council,7,1
2024-10-23,MIL,PHI,124,109,H,Tyler Smith,5,1
2024-10-23,MIL,PHI,124,109,H,Jared McCain,4,2
2024-10-23,MIL,PHI,124,109,H,Adem Bona,2,1
2024-10-23,MIL,PHI,124,109,H,KJ Martin,3,5
2024-10-23,MIL,PHI,124,109,H,A.J. Green,0,0
2024-10-23,MIL,PHI,124,109,H,Delon Wright,2,0
2024-10-23,MIL,PHI,124,109,H,Lester Quiñones,0,1
2024-10-23,MIL,PHI,124,109,H,MarJon Beauchamp,0,0
2024-10-23,MIL,PHI,124,109,H,Jeff Dowtin,0,0
2024-10-23,MIL,PHI,124,109,H,Andre Jackson,0,0
2024-10-23,MIL,PHI,124,109,H,Ryan Rollins,0,0
2024-10-23,MIL,PHI,124,109,H,AJ Johnson,0,0
2024-10-23,MIL,PHI,124,109,H,Eric Gordon,2,1
2024-10-23,CHI,NOP,111,123,A,Brandon Ingram,33,7
2024-10-23,CHI,NOP,111,123,A,CJ McCollum,23,2
2024-10-23,CHI,NOP,111,123,A,Nikola Vučević,21,11
2024-10-23,CHI,NOP,111,123,A,Jalen Smith,15,5
2024-10-23,CHI,NOP,111,123,A,Zach LaVine,27,5
2024-10-23,CHI,NOP,111,123,A,Dejounte Murray,14,8
2024-10-23,CHI,NOP,111,123,A,Yves Missi,12,7
2024-10-23,CHI,NOP,111,123,A,Javonte Green,9,3
2024-10-23,CHI,NOP,111,123,A,Daniel Theis,8,2
2024-10-23,CHI,NOP,111,123,A,Jordan Hawkins,13,7
2024-10-23,CHI,NOP,111,123,A,Josh Giddey,14,5
2024-10-23,CHI,NOP,111,123,A,Coby White,10,8
2024-10-23,CHI,NOP,111,123,A,Jeremiah Robinson-Earl,6,1
2024-10-23,CHI,NOP,111,123,A,Ayo Dosunmu,8,4
2024-10-23,CHI,NOP,111,123,A,Lonzo Ball,5,2
2024-10-23,CHI,NOP,111,123,A,Patrick Williams,6,3
2024-10-23,CHI,NOP,111,123,A,Jose Alvarado,3,0
2024-10-23,CHI,NOP,111,123,A,Chris Duarte,3,0
2024-10-23,CHI,NOP,111,123,A,Herbert Jones,2,4
2024-10-23,CHI,NOP,111,123,A,Julian Phillips,2,0
2024-10-23,CHI,NOP,111,123,A,Karlo Matković,0,1
2024-10-23,CHI,NOP,111,123,A,Dalen Terry,0,0
2024-10-23,CHI,NOP,111,123,A,Matas Buzelis,0,2
2024-10-23,CHI,NOP,111,123,A,Talen Horton-Tucker,0,2
2024-10-23,CHI,NOP,111,123,A,Antonio Reeves,0,0
2024-10-23,DET,IND,109,115,A,Pascal Siakam,19,8
2024-10-23,DET,IND,109,115,A,Cade Cunningham,28,5
2024-10-23,DET,IND,109,115,A,Jalen Duren,13,13
2024-10-23,DET,IND,109,115,A,Myles Turner,20,9
2024-10-23,DET,IND,109,115,A,T.J. McConnell,14,2
2024-10-23,DET,IND,109,115,A,Jaden Ivey,17,5
2024-10-23,DET,IND,109,115,A,Bennedict Mathurin,19,6
2024-10-23,DET,IND,109,115,A,Tim Hardaway,14,1
2024-10-23,DET,IND,109,115,A,Tyrese Haliburton,15,5
2024-10-23,DET,IND,109,115,A,Aaron Nesmith,7,2
2024-10-23,DET,IND,109,115,A,Andrew Nembhard,8,2
2024-10-23,DET,IND,109,115,A,Malik Beasley,14,3
2024-10-23,DET,IND,109,115,A,Tobias Harris,13,2
2024-10-23,DET,IND,109,115,A,Ron Holland,6,3
2024-10-23,DET,IND,109,115,A,James Wiseman,6,1
2024-10-23,DET,IND,109,115,A,Isaiah Stewart,2,4
2024-10-23,DET,IND,109,115,A,Marcus Sasser,2,1
2024-10-23,DET,IND,109,115,A,Obi Toppin,2,1
2024-10-23,DET,IND,109,115,A,Jarace Walker,3,1
2024-10-23,DET,IND,109,115,A,Enrique Freeman,2,0
2024-10-23,DET,IND,109,115,A,Ben Sheppard,0,2
