Date;Home Team;Away Team;FTHG;FTAG;
21/10/2025 23:30;Oklahoma City Thunder;Houston Rockets;125;124;H
22/10/2025 02:00;Los Angeles Lakers;Golden State Warriors;109;119;A
22/10/2025 23:00;New York Knicks;Cleveland Cavaliers;119;111;H
22/10/2025 23:00;Charlotte Hornets;Brooklyn Nets;136;117;H
22/10/2025 23:00;Orlando Magic;Miami Heat;125;121;H
22/10/2025 23:30;Atlanta Hawks;Toronto Raptors;118;138;A
22/10/2025 23:30;Boston Celtics;Philadelphia 76ers;116;117;A
23/10/2025 00:00;Chicago Bulls;Detroit Pistons;115;111;H
23/10/2025 00:00;Memphis Grizzlies;New Orleans Pelicans;128;122;H
23/10/2025 00:00;Milwaukee Bucks;Washington Wizards;133;120;H
23/10/2025 01:00;Utah Jazz;LA Clippers;129;108;H
23/10/2025 01:30;Dallas Mavericks;San Antonio Spurs;92;125;A
23/10/2025 02:00;Phoenix Suns;Sacramento Kings;120;116;H
23/10/2025 02:00;Portland Trail Blazers;Minnesota Timberwolves;114;118;A
23/10/2025 23:30;Indiana Pacers;Oklahoma City Thunder;135;141;A
24/10/2025 02:00;Golden State Warriors;Denver Nuggets;137;131;H
24/10/2025 22:30;Toronto Raptors;Milwaukee Bucks;116;122;A
24/10/2025 23:00;Orlando Magic;Atlanta Hawks;107;111;A
24/10/2025 23:30;New York Knicks;Boston Celtics;105;95;H
24/10/2025 23:30;Brooklyn Nets;Cleveland Cavaliers;124;131;A
25/10/2025 00:00;Houston Rockets;Detroit Pistons;111;115;A
25/10/2025 00:00;Memphis Grizzlies;Miami Heat;114;146;A
25/10/2025 00:00;New Orleans Pelicans;San Antonio Spurs;116;120;A
25/10/2025 00:30;Dallas Mavericks;Washington Wizards;107;117;A
25/10/2025 02:00;Los Angeles Lakers;Minnesota Timberwolves;128;110;H
25/10/2025 02:00;Portland Trail Blazers;Golden State Warriors;139;119;H
25/10/2025 02:00;Sacramento Kings;Utah Jazz;105;104;H
25/10/2025 02:30;LA Clippers;Phoenix Suns;129;102;H
25/10/2025 23:00;Orlando Magic;Chicago Bulls;98;110;A
25/10/2025 23:30;Atlanta Hawks;Oklahoma City Thunder;100;117;A
25/10/2025 23:30;Philadelphia 76ers;Charlotte Hornets;125;121;H
26/10/2025 00:00;Memphis Grizzlies;Indiana Pacers;128;103;H
26/10/2025 01:00;Denver Nuggets;Phoenix Suns;133;111;H
26/10/2025 18:00;San Antonio Spurs;Brooklyn Nets;118;107;H
26/10/2025 19:30;Detroit Pistons;Boston Celtics;119;113;H
26/10/2025 22:00;Cleveland Cavaliers;Milwaukee Bucks;118;113;H
26/10/2025 22:00;Miami Heat;New York Knicks;115;107;H
26/10/2025 22:00;Washington Wizards;Charlotte Hornets;113;139;A
26/10/2025 23:00;Minnesota Timberwolves;Indiana Pacers;114;110;H
26/10/2025 23:30;Dallas Mavericks;Toronto Raptors;139;129;H
27/10/2025 01:00;LA Clippers;Portland Trail Blazers;114;107;H
27/10/2025 01:00;Sacramento Kings;Los Angeles Lakers;120;127;A
27/10/2025 23:00;Detroit Pistons;Cleveland Cavaliers;95;116;A
27/10/2025 23:00;Philadelphia 76ers;Orlando Magic;136;124;H
28/10/2025 00:00;Chicago Bulls;Atlanta Hawks;128;123;H
28/10/2025 00:00;Houston Rockets;Brooklyn Nets;137;109;H
28/10/2025 00:00;New Orleans Pelicans;Boston Celtics;90;122;A
28/10/2025 00:00;San Antonio Spurs;Toronto Raptors;121;103;H
28/10/2025 00:30;Dallas Mavericks;Oklahoma City Thunder;94;101;A
28/10/2025 01:00;Utah Jazz;Phoenix Suns;138;134;H
28/10/2025 01:30;Minnesota Timberwolves;Denver Nuggets;114;127;A
28/10/2025 02:00;Golden State Warriors;Memphis Grizzlies;131;118;H
28/10/2025 02:30;Los Angeles Lakers;Portland Trail Blazers;108;122;A
28/10/2025 23:00;Washington Wizards;Philadelphia 76ers;134;139;A
28/10/2025 23:30;Miami Heat;Charlotte Hornets;144;117;H
29/10/2025 00:00;Milwaukee Bucks;New York Knicks;121;111;H
29/10/2025 00:00;Oklahoma City Thunder;Sacramento Kings;107;101;H
29/10/2025 03:00;Golden State Warriors;LA Clippers;98;79;H
29/10/2025 22:30;Toronto Raptors;Houston Rockets;121;139;A
29/10/2025 23:00;Boston Celtics;Cleveland Cavaliers;125;105;H
29/10/2025 23:00;Detroit Pistons;Orlando Magic;135;116;H
29/10/2025 23:30;Brooklyn Nets;Atlanta Hawks;112;117;A
30/10/2025 00:00;Chicago Bulls;Sacramento Kings;126;113;H
30/10/2025 00:30;Dallas Mavericks;Indiana Pacers;107;105;H
30/10/2025 01:00;Denver Nuggets;New Orleans Pelicans;122;88;H
30/10/2025 01:00;Utah Jazz;Portland Trail Blazers;134;136;A
30/10/2025 01:30;Minnesota Timberwolves;Los Angeles Lakers;115;116;A
30/10/2025 02:00;Phoenix Suns;Memphis Grizzlies;113;114;A
30/10/2025 23:00;Charlotte Hornets;Orlando Magic;107;123;A
31/10/2025 00:00;Milwaukee Bucks;Golden State Warriors;120;110;H
31/10/2025 00:00;Oklahoma City Thunder;Washington Wizards;127;108;H
31/10/2025 00:30;San Antonio Spurs;Miami Heat;107;101;H
31/10/2025 23:00;Indiana Pacers;Atlanta Hawks;108;128;A
31/10/2025 23:00;Philadelphia 76ers;Boston Celtics;108;109;A
31/10/2025 23:30;Cleveland Cavaliers;Toronto Raptors;101;112;A
01/11/2025 00:00;Chicago Bulls;New York Knicks;135;125;H
01/11/2025 01:30;Memphis Grizzlies;Los Angeles Lakers;112;117;A
01/11/2025 02:00;Phoenix Suns;Utah Jazz;118;96;H
01/11/2025 02:00;Portland Trail Blazers;Denver Nuggets;109;107;H
01/11/2025 02:30;LA Clippers;New Orleans Pelicans;126;124;H
01/11/2025 21:00;Milwaukee Bucks;Sacramento Kings;133;135;A
01/11/2025 22:00;Charlotte Hornets;Minnesota Timberwolves;105;122;A
01/11/2025 23:00;Indiana Pacers;Golden State Warriors;114;109;H
01/11/2025 23:00;Washington Wizards;Orlando Magic;94;125;A
02/11/2025 00:00;Boston Celtics;Houston Rockets;101;128;A
02/11/2025 02:00;Detroit Pistons;Dallas Mavericks;122;110;H
02/11/2025 20:30;Oklahoma City Thunder;New Orleans Pelicans;137;106;H
02/11/2025 23:00;Brooklyn Nets;Philadelphia 76ers;105;129;A
02/11/2025 23:00;Charlotte Hornets;Utah Jazz;126;103;H
02/11/2025 23:00;Cleveland Cavaliers;Atlanta Hawks;117;109;H
02/11/2025 23:00;Toronto Raptors;Memphis Grizzlies;117;104;H
03/11/2025 00:00;New York Knicks;Chicago Bulls;128;116;H
03/11/2025 01:00;Phoenix Suns;San Antonio Spurs;130;118;H
03/11/2025 02:30;Los Angeles Lakers;Miami Heat;130;120;H
04/11/2025 00:00;Brooklyn Nets;Minnesota Timberwolves;;;
04/11/2025 00:00;Indiana Pacers;Milwaukee Bucks;;;
04/11/2025 00:30;Boston Celtics;Utah Jazz;;;
04/11/2025 00:30;New York Knicks;Washington Wizards;;;
04/11/2025 01:00;Houston Rockets;Dallas Mavericks;;;
04/11/2025 01:00;Memphis Grizzlies;Detroit Pistons;;;
04/11/2025 02:00;Denver Nuggets;Sacramento Kings;;;
04/11/2025 03:00;Portland Trail Blazers;Los Angeles Lakers;;;
04/11/2025 03:30;LA Clippers;Miami Heat;;;
05/11/2025 00:30;Toronto Raptors;Milwaukee Bucks;;;
05/11/2025 01:00;Atlanta Hawks;Orlando Magic;;;
05/11/2025 01:00;Chicago Bulls;Philadelphia 76ers;;;
05/11/2025 01:00;New Orleans Pelicans;Charlotte Hornets;;;
05/11/2025 03:00;Golden State Warriors;Phoenix Suns;;;
