Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2024-08-19,Bologna,Udinese,1,1,D,0,0,D
2024-08-20,Cagliari,Roma,0,0,D,0,0,D
2024-08-19,Empoli,Monza,0,0,D,0,0,D
2024-08-18,Genoa,Inter Milan,2,2,D,1,1,D
2024-08-19,Verona,Napoli,3,0,H,0,0,D
2024-08-20,Juventus,Como,3,0,H,2,0,H
2024-08-20,Lazio,Venezia,3,1,H,2,1,H
2024-08-20,Lecce,Atalanta,0,4,A,0,2,A
2024-08-19,AC Milan,Torino,2,2,D,0,0,D
2024-08-18,Parma,Fiorentina,1,1,D,1,0,H
2024-08-27,Cagliari,Como,1,1,D,1,0,H
2024-08-27,Verona,Juventus,0,3,A,0,2,A
2024-08-25,Inter Milan,Lecce,2,0,H,1,0,H
2024-08-26,Napoli,Bologna,3,0,H,1,0,H
2024-08-25,Udinese,Lazio,2,1,H,1,0,H
2024-08-25,Parma,AC Milan,2,1,H,1,0,H
2024-08-26,Roma,Empoli,1,2,A,0,1,A
2024-08-26,Torino,Atalanta,2,1,H,1,1,D
2024-08-25,Monza,Genoa,0,1,A,0,1,A
2024-09-01,Bologna,Empoli,1,1,D,1,1,D
2024-09-02,Fiorentina,Monza,2,2,D,1,2,A
2024-09-02,Genoa,Verona,0,2,A,0,0,D
2024-08-31,Inter Milan,Atalanta,4,0,H,2,0,H
2024-09-02,Juventus,Roma,0,0,D,0,0,D
2024-09-01,Lazio,AC Milan,2,2,D,0,1,A
2024-09-01,Lecce,Cagliari,1,0,H,1,0,H
2024-09-01,Napoli,Parma,2,1,H,0,1,A
2024-09-02,Udinese,Como,1,0,H,1,0,H
2024-08-31,Venezia,Torino,0,1,A,0,0,D
2024-09-16,Atalanta,Fiorentina,3,2,H,3,2,H
2024-09-16,Cagliari,Napoli,0,4,A,0,1,A
2024-09-16,Como,Bologna,2,2,D,1,0,H
2024-09-16,Empoli,Juventus,0,0,D,0,0,D
2024-09-16,Genoa,Roma,1,1,D,0,1,A
2024-09-17,Lazio,Verona,2,1,H,2,1,H
2024-09-16,AC Milan,Venezia,4,0,H,4,0,H
2024-09-16,Monza,Inter Milan,1,1,D,0,0,D
2024-09-17,Parma,Udinese,2,3,A,2,0,H
2024-09-16,Torino,Lecce,0,0,D,0,0,D
2024-09-25,Atalanta,Como,2,3,A,1,0,H
2024-09-21,Cagliari,Empoli,0,2,A,0,1,A
2024-09-23,Fiorentina,Lazio,2,1,H,0,1,A
2024-09-21,Verona,Torino,2,3,A,1,2,A
2024-09-23,Inter Milan,AC Milan,1,2,A,1,1,D
2024-09-23,Juventus,Napoli,0,0,D,0,0,D
2024-09-23,Lecce,Parma,2,2,D,1,0,H
2024-09-23,Monza,Bologna,1,2,A,1,1,D
2024-09-23,Roma,Udinese,3,0,H,1,0,H
2024-09-23,Venezia,Genoa,2,0,H,0,0,D
2024-09-30,Bologna,Atalanta,1,1,D,0,0,D
2024-09-30,Como,Verona,3,2,H,1,0,H
