Season,HomeTeam,AwayTeam,HomeScore,AwayScore,FTR
2024,Georgia Tech,Florida State,24,21,H
2024,New Mexico,Montana State,31,35,A
2024,Nevada,SMU,24,29,A
2024,Hawaii,Delaware State,35,14,H
2024,Rutgers,Howard,44,7,H
2024,UCF,New Hampshire,57,3,H
2024,Bowling Green,Fordham,41,17,H
2024,Wake Forest,North Carolina A&T,45,13,H
2024,Buffalo,Lafayette,30,13,H
2024,Central Michigan,Central Conn. State,66,10,H
2024,Arkansas,Arkansas-Pine Bluff,70,0,H
2024,Toledo,Duquesne,49,10,H
2024,NC State,Western Carolina,38,21,H
2024,Kansas,Lindenwood,48,3,H
2024,Missouri,Murray State,51,0,H
2024,Tulsa,Northwestern State,62,28,H
2024,Jacksonville State,Coastal Carolina,27,55,A
2024,UAB,Alcorn State,41,3,H
2024,Tulane,Southeastern Louisiana,52,0,H
2024,Colorado,North Dakota State,31,26,H
2024,Minnesota,North Carolina,17,19,A
2024,UL-Monroe,Jackson State,30,14,H
2024,Utah,Southern Utah,49,0,H
2024,Illinois,Eastern Illinois,45,0,H
2024,San Jose State,Sacramento State,42,24,H
2024,Army,Lehigh,42,7,H
2024,Michigan State,Florida Atlantic,16,10,H
2024,Oklahoma,Temple,51,3,H
2024,Duke,Elon University,26,3,H
2024,Wisconsin,Western Michigan,28,14,H
2024,Stanford,TCU,27,34,A
2024,Georgia,Clemson,34,3,H
2024,Maryland,Connecticut,50,7,H
2024,Purdue,Indiana State,49,0,H
2024,Pittsburgh,Kent State,55,24,H
2024,Navy,Bucknell,49,21,H
2024,Vanderbilt,Virginia Tech,34,27,H
2024,Iowa,Illinois State,40,0,H
2024,West Virginia,Penn State,12,34,A
2024,Louisville,Austin Peay,62,0,H
2024,Tennessee,Chattanooga,69,3,H
2024,Oklahoma State,South Dakota State,44,20,H
2024,Cincinnati,Towson,38,20,H
2024,Washington State,Portland State,70,30,H
2024,Massachusetts,Eastern Michigan,14,28,A
2024,Nebraska,UTEP,40,7,H
2024,Indiana,FIU,31,7,H
2024,Northern Illinois,Western Illinois,54,15,H
2024,Texas,Colorado State,52,0,H
2024,Appalachian State,East Tennessee State,38,10,H
2024,Iowa State,North Dakota,21,3,H
2024,Syracuse,Ohio,38,22,H
2024,UTSA,Kennesaw State,28,16,H
2024,Air Force,Merrimack,21,6,H
2024,Ohio State,Akron,52,6,H
2024,Florida,Miami (FL),17,41,A
2024,Northwestern,Miami (OH),13,6,H
2024,Georgia Southern,Boise State,45,56,A
2024,South Carolina,Old Dominion,23,19,H
2024,California,UC-Davis,31,13,H
