Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2024-01-01,BUF,NJD,1,4,A,0,2,A
2024-01-01,NJD,BUF,3,1,H,0,0,D
2024-01-01,SEA,STL,2,3,A,0,0,D
2024-01-01,FLA,BOS,6,4,H,4,1,H
2024-01-01,UTA,CHI,5,2,H,2,0,H
2024-01-01,MTL,TOR,1,0,H,1,0,H
2024-01-01,PIT,NYR,0,6,A,0,3,A
2024-01-01,EDM,WPG,0,6,A,0,2,A
2024-01-01,VAN,CGY,5,6,A,4,1,H
2024-01-01,VGK,COL,8,4,H,3,1,H
2024-01-01,BOS,MTL,6,4,H,3,2,H
2024-01-01,BUF,LAK,1,3,A,0,0,D
2024-01-01,OTT,FLA,3,1,H,2,0,H
2024-01-01,DET,PIT,3,6,A,1,1,D
2024-01-01,NJD,TOR,2,4,A,1,3,A
2024-01-01,NYI,UTA,4,5,A,1,1,D
2024-01-01,NSH,DAL,3,4,A,0,0,D
2024-01-01,MIN,CBJ,3,2,H,1,0,H
2024-01-01,SJS,STL,4,5,A,2,1,H
2024-01-01,CAR,TBL,1,4,A,1,0,H
2024-01-01,WPG,CHI,2,1,H,0,0,D
2024-01-01,VAN,PHI,2,2,D,1,1,D
2024-01-01,VGK,STL,4,3,H,2,1,H
2024-01-01,BOS,LAK,2,1,H,0,0,D
2024-01-01,BUF,FLA,5,2,H,2,1,H
2024-01-01,TOR,PIT,4,2,H,0,1,A
2024-01-01,MTL,OTT,4,1,H,2,0,H
2024-01-01,DET,NSH,3,0,H,0,0,D
2024-01-01,TBL,CAR,3,2,H,1,0,H
2024-01-01,NYR,UTA,5,6,A,1,1,D
2024-01-01,WSH,NJD,3,5,A,1,2,A
2024-01-01,DAL,NYI,3,0,H,1,0,H
2024-01-01,MIN,SEA,4,4,D,1,0,H
2024-01-01,COL,CBJ,4,6,A,1,2,A
2024-01-01,CGY,PHI,6,3,H,2,0,H
2024-01-01,EDM,CHI,2,5,A,0,1,A
2024-01-01,SJS,ANA,0,2,A,0,0,D
2024-01-01,WPG,MIN,2,1,H,1,1,D
2024-01-01,DAL,SEA,2,0,H,2,0,H
2024-01-01,EDM,CGY,1,4,A,1,0,H
2024-01-01,VGK,ANA,3,1,H,1,1,D
2024-01-01,BOS,FLA,3,4,A,1,2,A
2024-01-01,OTT,LAK,8,7,H,1,2,A
2024-01-01,NJD,UTA,3,0,H,0,0,D
2024-01-01,NYR,DET,4,1,H,1,1,D
2024-01-01,MTL,PIT,3,6,A,1,2,A
2024-01-01,COL,NYI,2,6,A,1,2,A
2024-01-01,TBL,VAN,4,1,H,1,0,H
2024-01-01,WSH,VGK,4,2,H,1,1,D
2024-01-01,CAR,NJD,4,2,H,0,0,D
2024-01-01,CBJ,FLA,3,4,A,0,0,D
2024-01-01,STL,MIN,1,4,A,0,1,A
2024-01-01,NSH,SEA,3,7,A,2,3,A
2024-01-01,DAL,SJS,2,2,D,0,0,D
2024-01-01,CGY,CHI,3,1,H,1,1,D
2024-01-01,EDM,PHI,4,3,H,0,2,A
2024-01-01,PIT,BUF,6,5,H,1,3,A
2024-01-01,TOR,LAK,6,2,H,3,0,H
2024-01-01,COL,BOS,3,5,A,1,2,A
2024-01-01,ANA,UTA,5,4,H,1,2,A
2024-01-01,MTL,LAK,1,4,A,1,1,D
2024-01-01,OTT,NJD,1,3,A,0,0,D
2024-01-01,DET,NYR,2,5,A,0,2,A
2024-01-01,TBL,VGK,4,3,H,2,2,D
2024-01-01,FLA,VAN,2,3,A,1,1,D
2024-01-01,WSH,DAL,3,2,H,0,1,A
2024-01-01,CBJ,BUF,6,4,H,2,0,H
2024-01-01,STL,NYI,1,0,H,0,0,D
2024-01-01,NSH,EDM,2,4,A,1,1,D
2024-01-01,CHI,SJS,4,2,H,2,0,H
2024-01-01,SEA,PHI,6,4,H,1,2,A
2024-01-01,PIT,CAR,1,4,A,1,1,D
2024-01-01,WPG,SJS,8,3,H,4,1,H
2024-01-01,COL,ANA,4,3,H,0,2,A
2024-01-01,OTT,TBL,5,4,H,2,0,H
2024-01-01,NSH,DET,2,5,A,1,1,D
2024-01-01,DAL,EDM,4,1,H,0,0,D
2024-01-01,FLA,VGK,4,3,H,0,1,A
2024-01-01,TOR,NYR,1,4,A,0,1,A
2024-01-01,NJD,WSH,5,6,A,1,3,A
2024-01-01,NYI,MTL,3,3,D,2,1,H
2024-01-01,PHI,VAN,0,3,A,0,1,A
2024-01-01,CBJ,MIN,1,3,A,0,1,A
2024-01-01,STL,CAR,4,3,H,0,1,A
2024-01-01,CHI,BUF,2,4,A,0,2,A
2024-01-01,UTA,BOS,2,1,H,0,0,D
2024-01-01,SEA,CGY,2,1,H,0,1,A
2024-01-01,WPG,PIT,6,3,H,0,0,D
2024-01-01,SJS,COL,1,4,A,1,2,A
2024-01-01,ANA,LAK,1,4,A,0,0,D
2024-01-01,TOR,TBL,5,2,H,1,1,D
2024-01-01,PHI,WSH,1,4,A,0,2,A
2024-01-01,FLA,MIN,1,5,A,0,2,A
2024-01-01,NJD,TBL,5,8,A,1,1,D
2024-01-01,BUF,DAL,4,2,H,0,0,D
