Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2025-05-19,Winnipeg Jets,Dallas Stars,0,0,D
2025-05-18,Toronto Maple Leafs,Florida Panthers,0,0,D
2025-05-17,Dallas Stars,Winnipeg Jets,0,0,D
2025-05-16,Florida Panthers,Toronto Maple Leafs,0,0,D
2025-05-15,Winnipeg Jets,Dallas Stars,4,0,H
2025-05-15,Washington Capitals,Carolina Hurricanes,1,3,A
2025-05-14,Toronto Maple Leafs,Florida Panthers,1,6,A
2025-05-14,Vegas Golden Knights,Edmonton Oilers,0,1,A
2025-05-13,Dallas Stars,Winnipeg Jets,3,1,H
2025-05-12,Carolina Hurricanes,Washington Capitals,5,2,H
2025-05-12,Edmonton Oilers,Vegas Golden Knights,3,0,H
2025-05-11,Dallas Stars,Winnipeg Jets,5,2,H
2025-05-11,Florida Panthers,Toronto Maple Leafs,2,0,H
2025-05-10,Carolina Hurricanes,Washington Capitals,4,0,H
2025-05-10,Edmonton Oilers,Vegas Golden Knights,3,4,A
2025-05-09,Florida Panthers,Toronto Maple Leafs,5,4,H
2025-05-09,Winnipeg Jets,Dallas Stars,4,0,H
2025-05-08,Washington Capitals,Carolina Hurricanes,3,1,H
2025-05-08,Vegas Golden Knights,Edmonton Oilers,4,5,A
2025-05-07,Toronto Maple Leafs,Florida Panthers,4,3,H
2025-05-07,Winnipeg Jets,Dallas Stars,2,3,A
2025-05-06,Vegas Golden Knights,Edmonton Oilers,2,4,A
2025-05-06,Washington Capitals,Carolina Hurricanes,1,2,A
2025-05-05,Toronto Maple Leafs,Florida Panthers,5,4,H
2025-05-04,Winnipeg Jets,St. Louis Blues,4,3,H
2025-05-03,Dallas Stars,Colorado Avalanche,4,2,H
2025-05-02,St. Louis Blues,Winnipeg Jets,5,2,H
2025-05-01,Colorado Avalanche,Dallas Stars,7,4,H
2025-05-01,Edmonton Oilers,Los Angeles Kings,6,4,H
2025-05-01,Minnesota Wild,Vegas Golden Knights,2,3,A
2025-05-01,Ottawa Senators,Toronto Maple Leafs,2,4,A
2025-04-30,Tampa Bay Lightning,Florida Panthers,3,6,A
2025-04-30,Winnipeg Jets,St. Louis Blues,5,3,H
2025-04-30,Washington Capitals,Montreal Canadiens,4,1,H
2025-04-29,Vegas Golden Knights,Minnesota Wild,3,2,H
2025-04-29,Toronto Maple Leafs,Ottawa Senators,0,4,A
2025-04-29,Carolina Hurricanes,New Jersey Devils,5,4,H
2025-04-29,Los Angeles Kings,Edmonton Oilers,1,3,A
2025-04-28,Dallas Stars,Colorado Avalanche,6,2,H
2025-04-28,Florida Panthers,Tampa Bay Lightning,4,2,H
2025-04-27,Edmonton Oilers,Los Angeles Kings,4,3,H
2025-04-27,Montreal Canadiens,Washington Capitals,2,5,A
2025-04-27,New Jersey Devils,Carolina Hurricanes,2,5,A
2025-04-27,St. Louis Blues,Winnipeg Jets,5,1,H
2025-04-26,Ottawa Senators,Toronto Maple Leafs,4,3,H
2025-04-26,Minnesota Wild,Vegas Golden Knights,3,4,A
2025-04-26,Florida Panthers,Tampa Bay Lightning,1,5,A
2025-04-26,Colorado Avalanche,Dallas Stars,4,0,H
2025-04-25,Edmonton Oilers,Los Angeles Kings,7,4,H
2025-04-25,Montreal Canadiens,Washington Capitals,6,3,H
2025-04-25,New Jersey Devils,Carolina Hurricanes,3,2,H
2025-04-24,St. Louis Blues,Winnipeg Jets,7,2,H
2025-04-24,Tampa Bay Lightning,Florida Panthers,0,2,A
2025-04-24,Minnesota Wild,Vegas Golden Knights,5,2,H
2025-04-24,Ottawa Senators,Toronto Maple Leafs,2,3,A
2025-04-23,Colorado Avalanche,Dallas Stars,1,2,A
2025-04-23,Los Angeles Kings,Edmonton Oilers,6,2,H
2025-04-23,Washington Capitals,Montreal Canadiens,3,1,H
2025-04-22,Carolina Hurricanes,New Jersey Devils,3,1,H
2025-04-22,Tampa Bay Lightning,Florida Panthers,2,6,A
2025-04-22,Toronto Maple Leafs,Ottawa Senators,3,2,H
2025-04-22,Vegas Golden Knights,Minnesota Wild,2,5,A
2025-04-21,Dallas Stars,Colorado Avalanche,4,3,H
2025-04-21,Los Angeles Kings,Edmonton Oilers,6,5,H
2025-04-21,Winnipeg Jets,St. Louis Blues,2,1,H
2025-04-21,Washington Capitals,Montreal Canadiens,3,2,H
2025-04-20,Toronto Maple Leafs,Ottawa Senators,6,2,H
2025-04-20,Vegas Golden Knights,Minnesota Wild,4,2,H
2025-04-20,Carolina Hurricanes,New Jersey Devils,4,1,H
2025-04-19,Winnipeg Jets,St. Louis Blues,5,3,H
2025-04-19,Dallas Stars,Colorado Avalanche,1,5,A
2025-04-17,Buffalo Sabres,Philadelphia Flyers,5,4,H
2025-04-17,Columbus Blue Jackets,New York Islanders,6,1,H
2025-04-17,Los Angeles Kings,Calgary Flames,1,5,A
2025-04-17,New York Rangers,Tampa Bay Lightning,4,0,H
2025-04-17,Ottawa Senators,Carolina Hurricanes,7,5,H
2025-04-17,Pittsburgh Penguins,Washington Capitals,5,2,H
2025-04-17,Toronto Maple Leafs,Detroit Red Wings,4,3,H
2025-04-16,Montreal Canadiens,Carolina Hurricanes,4,2,H
2025-04-16,New Jersey Devils,Detroit Red Wings,2,5,A
2025-04-16,Nashville Predators,Dallas Stars,5,1,H
2025-04-16,San Jose Sharks,Edmonton Oilers,0,3,A
2025-04-16,Vancouver Canucks,Vegas Golden Knights,1,4,A
2025-04-16,Winnipeg Jets,Anaheim Ducks,2,1,H
2025-04-15,Boston Bruins,New Jersey Devils,4,5,A
2025-04-15,Buffalo Sabres,Toronto Maple Leafs,0,4,A
2025-04-15,Calgary Flames,Vegas Golden Knights,5,4,H
2025-04-15,Minnesota Wild,Anaheim Ducks,3,2,H
2025-04-15,New York Islanders,Washington Capitals,1,3,A
2025-04-15,Ottawa Senators,Chicago Blackhawks,3,4,A
