Tournament,surface,Date,HomeTeam,AwayTeam,score,round,Surface,FTR
Brisbane,Hard,20240101,Grigor Dimitrov,Holger Rune,7-6(5) 6-4,F,Hard,H
Brisbane,Hard,20240101,Holger Rune,Roman Safiullin,6-4 7-6(0),SF,Hard,H
Brisbane,Hard,20240101,Grigor Dimitrov,Jordan Thompson,6-3 7-5,SF,Hard,H
Brisbane,Hard,20240101,Holger Rune,James Duckworth,6-2 7-6(6),QF,Hard,H
Brisbane,Hard,20240101,Roman Safiullin,Matteo Arnaldi,7-6(4) 6-2,QF,Hard,H
Brisbane,Hard,20240101,Jordan Thompson,Rafael Nadal,5-7 7-6(6) 6-3,QF,Hard,H
Brisbane,Hard,20240101,Grigor Dimitrov,Rinky Hijikata,6-1 6-4,QF,Hard,H
Brisbane,Hard,20240101,Holger Rune,Alexander Shevchenko,6-4 5-7 6-2,R16,Hard,H
Brisbane,Hard,20240101,James Duckworth,Yannick Hanfmann,4-6 6-1 7-6(2),R16,Hard,H
Brisbane,Hard,20240101,Roman Safiullin,Alexei Popyrin,6-7(9) 6-4 7-6(3),R16,Hard,H
Brisbane,Hard,20240101,Matteo Arnaldi,Lukas Klein,6-4 3-6 7-5,R16,Hard,H
Brisbane,Hard,20240101,Rafael Nadal,Jason Kubler,6-1 6-2,R16,Hard,H
Brisbane,Hard,20240101,Jordan Thompson,Ugo Humbert,W/O,R16,Hard,H
Brisbane,Hard,20240101,Rinky Hijikata,Tomas Machac,5-7 6-2 7-6(4),R16,Hard,H
Brisbane,Hard,20240101,Grigor Dimitrov,Daniel Altmaier,6-1 6-2,R16,Hard,H
Brisbane,Hard,20240101,Holger Rune,Max Purcell,4-6 6-4 6-2,R32,Hard,H
Brisbane,Hard,20240101,Alexander Shevchenko,Luca Van Assche,6-3 6-2,R32,Hard,H
Brisbane,Hard,20240101,James Duckworth,J J Wolf,6-3 6-4,R32,Hard,H
Brisbane,Hard,20240101,Yannick Hanfmann,Sebastian Korda,7-5 6-4,R32,Hard,H
Brisbane,Hard,20240101,Roman Safiullin,Ben Shelton,6-3 6-7(5) 6-3,R32,Hard,H
Brisbane,Hard,20240101,Alexei Popyrin,Christopher Oconnell,6-4 6-7(5) 7-6(4),R32,Hard,H
Brisbane,Hard,20240101,Matteo Arnaldi,Marton Fucsovics,6-7(5) 6-4 7-6(7),R32,Hard,H
Brisbane,Hard,20240101,Lukas Klein,Sebastian Baez,4-6 6-3 6-4,R32,Hard,H
Brisbane,Hard,20240101,Jason Kubler,Aslan Karatsev,6-4 6-7(4) 0-0 RET,R32,Hard,H
Brisbane,Hard,20240101,Rafael Nadal,Dominic Thiem,7-5 6-1,R32,Hard,H
Brisbane,Hard,20240101,Jordan Thompson,Aleksandar Vukic,6-3 6-2,R32,Hard,H
Brisbane,Hard,20240101,Ugo Humbert,Alex Michelsen,6-4 6-4,R32,Hard,H
Brisbane,Hard,20240101,Tomas Machac,Tomas Martin Etcheverry,6-7(5) 7-5 7-6(1),R32,Hard,H
Brisbane,Hard,20240101,Rinky Hijikata,Thanasi Kokkinakis,7-6(8) 6-2,R32,Hard,H
Brisbane,Hard,20240101,Daniel Altmaier,Li Tu,7-6(5) 7-6(4),R32,Hard,H
Brisbane,Hard,20240101,Grigor Dimitrov,Andy Murray,4-6 7-5 6-2,R32,Hard,H
United Cup,Hard,20240101,Alexander Zverev,Hubert Hurkacz,6-7(3) 7-6(6) 6-4,F,Hard,H
