Tournament,surface,Date,HomeTeam,AwayTeam,score,round,Surface,FTR
M15 Luanda,Hard,20241118,Robert Strombachs,Leo Matthysen,6-3 6-4,R32,Hard,H
M15 Luanda,Hard,20241118,Yash Yadav,Breno Braga,6-3 5-7 7-5,R32,Hard,H
M15 Luanda,Hard,20241118,Lorenzo Lorusso,Fernando Andre,6-3 6-0,R32,Hard,H
M15 Luanda,Hard,20241118,Matteo Covato,Mark Nawa,6-4 6-4,R32,Hard,H
M15 Luanda,Hard,20241118,Edoardo Santoni,Kai Wehnelt,7-6(5) 6-3,R32,Hard,H
M15 Luanda,Hard,20241118,Alan Bojarski,Emerson Pedro,6-0 7-5,R32,Hard,H
M15 Luanda,Hard,20241118,Yannik Kelm,Tommaso Schold,6-2 7-6(3),R32,Hard,H
M15 Luanda,Hard,20241118,Seydina Andre,Daniel Domingos,6-4 3-6 6-3,R32,Hard,H
M15 Luanda,Hard,20241118,Gregor Ramskogler,Arthur Laborde,6-4 6-4,R32,Hard,H
M15 Luanda,Hard,20241118,Parth Aggarwal,Patrik Oplustil,3-6 7-5 6-2,R32,Hard,H
M15 Luanda,Hard,20241118,Oliver Clark Anderson,Alexey Aleshchev,6-2 6-0,R32,Hard,H
M15 Luanda,Hard,20241118,Jasza Szajrych,Jean Christian Morandais,6-4 6-1,R32,Hard,H
M15 Luanda,Hard,20241118,Chirag Duhan,Luke Cripps,6-7(5) 2-0 RET,R32,Hard,H
M15 Luanda,Hard,20241118,Lawrence Bataljin,Tarun Karra,6-3 1-6 6-3,R32,Hard,H
M15 Luanda,Hard,20241118,Victor Hugo Remondy Pagotto,Rishabhdev Rajshekar Raman,6-4 6-4,R32,Hard,H
M15 Luanda,Hard,20241118,Dominik Palan,Daniel Vishnick,6-3 6-1,R32,Hard,H
M15 Luanda,Hard,20241118,Robert Strombachs,Yash Yadav,6-0 6-0,R16,Hard,H
M15 Luanda,Hard,20241118,Matteo Covato,Lorenzo Lorusso,6-3 6-7(4) 7-5,R16,Hard,H
M15 Luanda,Hard,20241118,Alan Bojarski,Edoardo Santoni,6-4 6-3,R16,Hard,H
M15 Luanda,Hard,20241118,Seydina Andre,Yannik Kelm,6-3 6-4,R16,Hard,H
M15 Luanda,Hard,20241118,Gregor Ramskogler,Parth Aggarwal,6-3 6-2,R16,Hard,H
M15 Luanda,Hard,20241118,Oliver Clark Anderson,Jasza Szajrych,6-2 6-3,R16,Hard,H
M15 Luanda,Hard,20241118,Chirag Duhan,Lawrence Bataljin,7-5 6-2,R16,Hard,H
M15 Luanda,Hard,20241118,Dominik Palan,Victor Hugo Remondy Pagotto,6-0 7-5,R16,Hard,H
M15 Luanda,Hard,20241118,Robert Strombachs,Matteo Covato,6-0 6-1,QF,Hard,H
M15 Luanda,Hard,20241118,Alan Bojarski,Seydina Andre,6-2 6-1,QF,Hard,H
M15 Luanda,Hard,20241118,Oliver Clark Anderson,Gregor Ramskogler,6-3 6-4,QF,Hard,H
M15 Luanda,Hard,20241118,Chirag Duhan,Dominik Palan,6-3 6-4,QF,Hard,H
M15 Luanda,Hard,20241118,Robert Strombachs,Alan Bojarski,6-1 6-2,SF,Hard,H
M15 Luanda,Hard,20241118,Oliver Clark Anderson,Chirag Duhan,6-2 6-1,SF,Hard,H
M15 Luanda,Hard,20241118,Oliver Clark Anderson,Robert Strombachs,6-4 3-6 7-6(5),F,Hard,H
M15 Luanda,Hard,20241125,Robert Strombachs,Mukil Ramanan,6-0 6-1,R32,Hard,H
M15 Luanda,Hard,20241125,Lorenzo Lorusso,Mark Nawa,6-3 6-3,R32,Hard,H
M15 Luanda,Hard,20241125,Alexey Aleshchev,Antonin Chapuis,6-3 6-0,R32,Hard,H
M15 Luanda,Hard,20241125,Chirag Duhan,Fernando Andre,6-3 6-1,R32,Hard,H
M15 Luanda,Hard,20241125,Kai Wehnelt,Parth Aggarwal,7-5 6-1,R32,Hard,H
M15 Luanda,Hard,20241125,Patrik Oplustil,Leo Matthysen,7-6(4) 6-2,R32,Hard,H
M15 Luanda,Hard,20241125,Yannik Kelm,Jakub Hrynkiewicz,6-2 6-3,R32,Hard,H
M15 Luanda,Hard,20241125,Victor Braga,Yash Yadav,7-5 6-2,R32,Hard,H
M15 Luanda,Hard,20241125,Gregor Ramskogler,Matteo Covato,6-1 2-6 7-6(6),R32,Hard,H
M15 Luanda,Hard,20241125,Daniel Domingos,Lawrence Bataljin,2-6 7-5 6-4,R32,Hard,H
M15 Luanda,Hard,20241125,Victor Hugo Remondy Pagotto,Daniel Vishnick,6-3 6-4,R32,Hard,H
M15 Luanda,Hard,20241125,Jasza Szajrych,Aryan Lakshmanan,4-6 7-6(5) 6-1,R32,Hard,H
M15 Luanda,Hard,20241125,Seydina Andre,Breno Braga,6-1 6-4,R32,Hard,H
M15 Luanda,Hard,20241125,Alan Bojarski,Tommaso Schold,6-2 7-6(5),R32,Hard,H
M15 Luanda,Hard,20241125,Jean Christian Morandais,Tarun Karra,6-3 6-3,R32,Hard,H
M15 Luanda,Hard,20241125,Dominik Palan,Emerson Pedro,6-3 6-1,R32,Hard,H
M15 Luanda,Hard,20241125,Robert Strombachs,Lorenzo Lorusso,6-4 6-0,R16,Hard,H
M15 Luanda,Hard,20241125,Chirag Duhan,Alexey Aleshchev,6-4 6-4,R16,Hard,H
M15 Luanda,Hard,20241125,Kai Wehnelt,Patrik Oplustil,6-0 6-1,R16,Hard,H
M15 Luanda,Hard,20241125,Yannik Kelm,Victor Braga,6-2 6-2,R16,Hard,H
M15 Luanda,Hard,20241125,Gregor Ramskogler,Daniel Domingos,6-1 6-3,R16,Hard,H
M15 Luanda,Hard,20241125,Jasza Szajrych,Victor Hugo Remondy Pagotto,7-6(5) 6-1,R16,Hard,H
M15 Luanda,Hard,20241125,Alan Bojarski,Seydina Andre,7-6(5) 6-1,R16,Hard,H
M15 Luanda,Hard,20241125,Dominik Palan,Jean Christian Morandais,7-6(5) 6-3,R16,Hard,H
M15 Luanda,Hard,20241125,Robert Strombachs,Chirag Duhan,6-2 6-2,QF,Hard,H
M15 Luanda,Hard,20241125,Kai Wehnelt,Yannik Kelm,6-3 6-0,QF,Hard,H
M15 Luanda,Hard,20241125,Gregor Ramskogler,Jasza Szajrych,3-6 6-6 RET,QF,Hard,H
M15 Luanda,Hard,20241125,Dominik Palan,Alan Bojarski,6-3 RET,QF,Hard,H
M15 Luanda,Hard,20241125,Robert Strombachs,Kai Wehnelt,6-3 6-3,SF,Hard,H
M15 Luanda,Hard,20241125,Dominik Palan,Gregor Ramskogler,6-2 6-4,SF,Hard,H
M15 Luanda,Hard,20241125,Robert Strombachs,Dominik Palan,6-3 6-2,F,Hard,H
M25 Tucuman,Clay,20240226,Liam Draxl,Federico Aguilar Cardozo,6-2 7-5,R32,Clay,H
M25 Tucuman,Clay,20240226,Alex Marti Pujolras,Franco Ribero,6-0 6-4,R32,Clay,H
M25 Tucuman,Clay,20240226,Joaquin  Aguilar Cardozo ,Daniel Vallejo,7-6(4) 6-1,R32,Clay,H
M25 Tucuman,Clay,20240226,Wilson Leite,Pedro Boscardin Dias,6-2 6-3,R32,Clay,H
M25 Tucuman,Clay,20240226,Pedro Sakamoto,Tadeo Meneo,6-4 6-1,R32,Clay,H
M25 Tucuman,Clay,20240226,Felipe Pagnacco,Franco Roncadelli,6-7(2) 7-5 2-0 RET,R32,Clay,H
M25 Tucuman,Clay,20240226,Nicolas Zanellato,Leonardo Aboian,3-6 7-6(3) 5-1 RET,R32,Clay,H
M25 Tucuman,Clay,20240226,Alex Barrena,Mateo Del Pino,6-3 6-3,R32,Clay,H
M25 Tucuman,Clay,20240226,Juan Carlos Prado Angelo,Luciano Emanuel Ambrogi,6-3 6-1,R32,Clay,H
M25 Tucuman,Clay,20240226,Sean Hess,Santiago Russo,6-2 6-4,R32,Clay,H
M25 Tucuman,Clay,20240226,Petr Iamachkine,Tobias Franco,6-3 7-5,R32,Clay,H
M25 Tucuman,Clay,20240226,Dmitry Popko,Gonzalo Zeitune,6-1 6-3,R32,Clay,H
M25 Tucuman,Clay,20240226,Federico Agustin Gomez,Valerio Aboian,7-5 4-6 6-3,R32,Clay,H
M25 Tucuman,Clay,20240226,Facundo Mena,Lautaro Midon,6-3 6-1,R32,Clay,H
M25 Tucuman,Clay,20240226,Lorenzo Joaquin Rodriguez,Benjamin Ignacio Torres Fernandez,6-2 6-0,R32,Clay,H
M25 Tucuman,Clay,20240226,Alvaro Guillen Meza,Ezequiel Simonit,0-6 6-4 7-6(5),R32,Clay,H
M25 Tucuman,Clay,20240226,Liam Draxl,Alex Marti Pujolras,6-2 6-2,R16,Clay,H
M25 Tucuman,Clay,20240226,Joaquin  Aguilar Cardozo ,Wilson Leite,6-1 3-0 RET,R16,Clay,H
M25 Tucuman,Clay,20240226,Pedro Sakamoto,Felipe Pagnacco,6-1 6-1,R16,Clay,H
M25 Tucuman,Clay,20240226,Nicolas Zanellato,Alex Barrena,6-4 RET,R16,Clay,H
M25 Tucuman,Clay,20240226,Juan Carlos Prado Angelo,Sean Hess,6-2 6-4,R16,Clay,H
M25 Tucuman,Clay,20240226,Dmitry Popko,Petr Iamachkine,6-1 6-1,R16,Clay,H
M25 Tucuman,Clay,20240226,Federico Agustin Gomez,Facundo Mena,7-6(4) 2-6 6-0,R16,Clay,H
M25 Tucuman,Clay,20240226,Alvaro Guillen Meza,Lorenzo Joaquin Rodriguez,6-4 7-5,R16,Clay,H
M25 Tucuman,Clay,20240226,Liam Draxl,Joaquin  Aguilar Cardozo ,7-6(5) 0-6 7-6(4),QF,Clay,H
M25 Tucuman,Clay,20240226,Pedro Sakamoto,Nicolas Zanellato,6-1 7-5,QF,Clay,H
M25 Tucuman,Clay,20240226,Dmitry Popko,Juan Carlos Prado Angelo,6-4 6-3,QF,Clay,H
M25 Tucuman,Clay,20240226,Federico Agustin Gomez,Alvaro Guillen Meza,6-7(3) 6-4 6-1,QF,Clay,H
M25 Tucuman,Clay,20240226,Pedro Sakamoto,Liam Draxl,7-5 6-1,SF,Clay,H
M25 Tucuman,Clay,20240226,Dmitry Popko,Federico Agustin Gomez,4-6 6-2 6-1,SF,Clay,H
M15 Bragado,Clay,20240325,Valerio Aboian,Maximo Zeitune,7-5 6-2,R32,Clay,H
M15 Bragado,Clay,20240325,Maximilian Figl,Franco Emanuel Egea,1-6 6-1 7-5,R32,Clay,H
M15 Bragado,Clay,20240325,Alejo Lorenzo Lingua Lavallen,Thiago Cigarran,6-3 6-3,R32,Clay,H
M15 Bragado,Clay,20240325,Lautaro Midon,Alexander Stater,6-4 4-6 6-3,R32,Clay,H
M15 Bragado,Clay,20240325,Matias Franco Descotte,Santiago De La Fuente,6-1 6-4,R32,Clay,H
M15 Bragado,Clay,20240325,Sean Hess,Tobias Franco,7-6(2) 6-1,R32,Clay,H
