Tournament,surface,Date,HomeTeam,AwayTeam,score,round,Surface,FTR
Brisbane,Hard,20240101,Tomas Machac,Aleksandar Kovacevic,6-4 6-2,Q2,Hard,H
Brisbane,Hard,20240101,James Duckworth,Gregoire Barrere,6-1 7-6(2),Q2,Hard,H
Brisbane,Hard,20240101,Li Tu,Daniel Elahi Galan,6-3 7-6(5),Q2,Hard,H
Brisbane,Hard,20240101,Alex Michelsen,Diego Schwartzman,6-1 6-4,Q2,Hard,H
Brisbane,Hard,20240101,Dominic Thiem,Giulio Zeppieri,3-6 6-4 6-4,Q2,Hard,H
Brisbane,Hard,20240101,Lukas Klein,Maxime Cressy,4-6 7-6(8) 6-4,Q2,Hard,H
Brisbane,Hard,20240101,Tomas Machac,Blake Ellis,7-6(2) 6-2,Q1,Hard,H
Brisbane,Hard,20240101,Aleksandar Kovacevic,Federico Gaio,7-6(5) 6-2,Q1,Hard,H
Brisbane,Hard,20240101,Gregoire Barrere,Dane Sweeny,6-3 6-0,Q1,Hard,H
Brisbane,Hard,20240101,James Duckworth,Philip Sekulic,7-6(5) 6-4,Q1,Hard,H
Brisbane,Hard,20240101,Daniel Elahi Galan,Andrey Kuznetsov,7-5 6-3,Q1,Hard,H
Brisbane,Hard,20240101,Li Tu,Francisco Comesana,7-6(1) 5-7 7-6(3),Q1,Hard,H
Brisbane,Hard,20240101,Alex Michelsen,Alessandro Giannessi,6-3 6-2,Q1,Hard,H
Brisbane,Hard,20240101,Diego Schwartzman,Jacob Bradshaw,6-2 6-4,Q1,Hard,H
Brisbane,Hard,20240101,Dominic Thiem,James Mccabe,2-6 7-6(4) 6-4,Q1,Hard,H
Brisbane,Hard,20240101,Giulio Zeppieri,Omar Jasika,7-5 6-3,Q1,Hard,H
Brisbane,Hard,20240101,Lukas Klein,Quentin Halys,6-4 7-6(1),Q1,Hard,H
Brisbane,Hard,20240101,Maxime Cressy,Ryan Peniston,6-4 6-4,Q1,Hard,H
Hong Kong,Hard,20240101,Taro Daniel,Jan Choinski,6-4 3-6 6-4,Q2,Hard,H
Hong Kong,Hard,20240101,Marc Andrea Huesler,Otto Virtanen,6-2 6-0,Q2,Hard,H
Hong Kong,Hard,20240101,Liam Broady,Roman Andres Burruchaga,6-2 6-3,Q2,Hard,H
Hong Kong,Hard,20240101,Vitaliy Sachko,Terence Atmane,7-6(4) 6-1,Q2,Hard,H
Hong Kong,Hard,20240101,Jan Choinski,Zizou Bergs,6-2 6-2,Q1,Hard,H
Hong Kong,Hard,20240101,Otto Virtanen,Jaume Munar,3-6 6-3 6-4,Q1,Hard,H
Hong Kong,Hard,20240101,Marc Andrea Huesler,Sho Shimabukuro,6-2 6-4,Q1,Hard,H
Hong Kong,Hard,20240101,Liam Broady,Aziz Dougaz,6-3 6-3,Q1,Hard,H
Hong Kong,Hard,20240101,Roman Andres Burruchaga,Joris De Loore,6-7(5) 7-6(6) 6-4,Q1,Hard,H
Hong Kong,Hard,20240101,Vitaliy Sachko,Zsombor Piros,6-3 6-2,Q1,Hard,H
Hong Kong,Hard,20240101,Terence Atmane,Hong Kit Jack Wong,6-4 6-2,Q1,Hard,H
Adelaide,Hard,20240108,Arthur Rinderknech,James Mccabe,6-4 7-5,Q2,Hard,H
