tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,player1,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,player2,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,winner
2024-M-ITF-ANG-2024-001,M15 Luanda,Hard,32,15,20241118,101,207669,1.0,,Robert Strombachs,R,191.0,LAT,25.1,213009,,,Leo Matthysen,U,,RSA,18.3,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,432.0,100.0,1382.0,4.0,Robert Strombachs
2024-M-ITF-ANG-2024-001,M15 Luanda,Hard,32,15,20241118,102,206281,,Q,Yash Yadav,R,,IND,25.2,213393,,Q,Breno Braga,U,,BRA,19.8,6-3 5-7 7-5,3,R32,,,,,,,,,,,,,,,,,,,,,,,,Yash Yadav
2024-M-ITF-ANG-2024-001,M15 Luanda,Hard,32,15,20241118,103,210047,,,Lorenzo Lorusso,R,188.0,ITA,24.8,208234,,WC,Fernando Andre,U,,ANG,25.5,6-3 6-0,3,R32,,,,,,,,,,,,,,,,,,,,1196.0,8.0,,,Lorenzo Lorusso
2024-M-ITF-ANG-2024-001,M15 Luanda,Hard,32,15,20241118,104,149145,8.0,,Matteo Covato,U,,ITA,19.5,213656,,WC,Mark Nawa,U,,BWA,,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,1160.0,8.0,,,Matteo Covato
2024-M-ITF-ANG-2024-001,M15 Luanda,Hard,32,15,20241118,105,213657,,Q,Edoardo Santoni,U,,ITA,,132999,3.0,,Kai Wehnelt,R,188.0,GER,28.9,7-6(5) 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,829.0,25.0,Edoardo Santoni
2024-M-ITF-ANG-2024-001,M15 Luanda,Hard,32,15,20241118,106,209417,,,Alan Bojarski,R,185.0,POL,21.3,213658,,WC,Emerson Pedro,U,,AGO,,6-0 7-5,3,R32,,,,,,,,,,,,,,,,,,,,1518.0,3.0,,,Alan Bojarski
2024-M-ITF-ANG-2024-001,M15 Luanda,Hard,32,15,20241118,107,212025,,,Yannik Kelm,R,,GER,19.7,205748,,,Tommaso Schold,U,,ITA,26.4,6-2 7-6(3),3,R32,,,,,,,,,,,,,,,,,,,,1735.0,2.0,2004.0,1.0,Yannik Kelm
2024-M-ITF-ANG-2024-001,M15 Luanda,Hard,32,15,20241118,108,210252,5.0,,Seydina Andre,U,,SEN,21.2,213637,,WC,Daniel Domingos,U,,AGO,,6-4 3-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,,955.0,16.0,1781.0,1.0,Seydina Andre
2024-M-ITF-ANG-2024-001,M15 Luanda,Hard,32,15,20241118,109,202190,6.0,,Gregor Ramskogler,R,,AUT,25.9,149139,,Q,Arthur Laborde,U,,SUI,20.4,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,1071.0,11.0,,,Gregor Ramskogler
2024-M-ITF-ANG-2024-001,M15 Luanda,Hard,32,15,20241118,110,202314,,,Parth Aggarwal,R,170.0,IND,26.9,211337,,,Patrik Oplustil,U,,CZE,19.5,3-6 7-5 6-2,3,R32,,,,,,,,,,,,,,,,,,,,1366.0,5.0,1286.0,6.0,Parth Aggarwal
